Disease ID,Disease Name,Associated Gene IDs,splits
C3277226,Restrictive ventilatory defect,"1280,1736,2317,2588,2720,3257,4921,54,6445,7248,7249",9
C0006142,Malignant neoplasm of breast,"100144748,11200,207,4683,5002,5290,5888,672,675,7516,79728,83990,84142,8438,8493",9
C0008489,Chorea,"111,1356,16,2290,23230,2512,3064,39,410,4204,4361,5119,5155,5159,54209,5621,6310,6314,6531,6535,6575,6872,6908,7080,7305,8398,9096,9150,9254",none
C0858867,Reticulocytopenia,"2175,2176,2177,2178,6138,6218,6223,6229,6231,6948",6
C0392386,Decreased platelet count,"10459,10535,10559,10560,11093,11234,11277,1130,11311,1287,1716,1719,1736,2072,2120,2175,2176,2177,2178,2187,2188,2189,22852,2313,2316,23218,25,25836,25974,26227,2623,26277,2629,2811,2812,2815,28976,29089,29887,3123,3141,331,348,3673,3702,3712,3717,4068,4352,4594,4598,4627,4683,4952,50485,5073,50943,5095,5096,51119,5155,5159,51750,5184,5328,540,54205,546,54938,55120,55135,55215,55505,5551,55651,5660,5826,5888,5889,5896,5897,613,6223,6309,6575,675,6786,6888,6916,6948,7012,7015,7390,7450,7454,7456,7466,7516,760,8328,8546,8600,861,87,9056,9103,9213,948,950,959,987,9939",7
C0018801,Heart failure,"10516,10891,1149,1193,1277,1278,1401,1431,1437,1440,1490,152,153,1536,155,156,1636,1675,1756,183,1832,1837,185,1906,2053,2070,213,2194,2200,23095,2316,23411,2395,25782,2628,2641,26503,2660,2697,27035,2717,2720,2879,28976,2920,2932,3030,3032,3039,3040,3077,3084,3091,31,3162,325,3315,3357,341,3423,3458,3553,3569,3630,368,3688,3728,3762,4000,4306,4511,4512,4513,4514,4519,4535,4540,4541,4556,4558,4566,4567,4572,4574,4575,4577,4578,4591,4624,4625,47,478,4843,4846,487,4878,4879,488,4881,4973,498,5037,50507,5054,5105,51422,5167,5170,51738,5191,5264,5294,5327,5351,5443,5444,5468,54968,5502,551,554,5573,5577,5609,5617,5663,5664,56729,5696,5741,5742,5743,5879,5950,5972,5979,6223,6390,6392,6548,6584,6647,6648,6649,6901,70,7018,7124,7132,7137,7139,7167,7168,7350,7422,7428,7450,7486,7498,7840,79071,8204,847,859,90226,9370,9518,9531,9719",3
C0086438,Hypogammaglobulinemia,"1080,11005,1380,1493,1789,204,22802,23495,29851,3070,331,4068,4125,472,4790,4791,51095,51164,51750,5293,5295,5580,595,6804,7040,7737,7841,8742,8915,930,931,939,975,9841,9939",none
C0265989,Congenital scar,"1294,1308,1349,3516,3655,3691,3909,3914,3918,4851,5339,54567,7020",none
C4021254,Cutaneous finger syndactyly,"1954,2263,23426,3239,3664,4038,4998,5077,5818,8642,9241",1
C0026010,Microphthalmos,"10013,10413,10585,10586,10682,10716,10733,10982,11023,1605,1806,2067,2068,2071,2073,2074,2175,2176,2177,2178,220,2218,2260,22930,22931,2301,23322,23347,23426,257,25782,25942,26022,26227,2697,27077,27229,2736,2737,29954,30062,3052,3149,3166,3265,3516,3845,4041,4329,4693,4810,4851,4893,4952,4990,5015,5076,51057,51259,51360,5147,51684,5290,5309,54567,54880,54903,55624,55636,5727,5915,5925,5932,5950,64220,6469,646960,6496,652,6608,6657,668,6913,699,701,7020,7473,8092,8260,83552,8517,8643,9150,9184,9215,9401,9573,9640,9702,9723",none
C0007102,Malignant tumor of colon,"22909,27030,2956,324,3845,4072,4292,4436,5290,5378,5395,6223,657,7048,7157,7373",4
C0036508,Seborrheic dermatitis,"11322,1312,2812,3248,421,6239,6578,686,6899,7290,7353,9632,9939",7
C0007273,Carotid Artery Diseases,"183,22808,2950,3162,348,356,5328,5420,6347,7157,9332",7
C0022346,Icterus,"10483,10599,1130,1244,1371,1482,1716,2040,2108,2109,2110,226,229,23534,2582,2592,26276,2821,28234,286,3043,3098,3592,3594,3663,3783,3930,4023,50506,51124,5172,5189,5190,5192,5193,5194,5195,5205,5213,5244,5265,5313,540,5449,5450,54658,5551,55670,55687,5626,5774,5824,5825,5828,5830,5873,6005,6513,6521,6528,6689,669,6710,6718,7038,7067,7068,7167,7173,7252,7253,7849,8022,8504,8647,8799,8820,9076,9409,9420,9652,9966",4
C0221765,Chronic schizophrenia,"10611,10644,1114,1128,1576,1636,23209,3313,3561,3952,427,6667",1
C0034880,Hyperacusis,"10743,2006,2314,26608,2969,3984,51085,5982,7461,9031,9569",3
C0240896,Fundus coloboma,"10413,23090,23322,5076,50945,51259,51524,54880,55636,5950,60,6299,652,7020,8260,9487,9723,9786",0
C0025323,Menorrhagia,"2147,2153,2155,2159,23218,2811,2812,2815,3674,3690,4627,5054,51206,5328,5568,7450,9101",5
C0042345,Varicosity,"1277,1281,1289,1290,1805,2303,3371,4256,4854,5921,619537,7076,7428",2
C1833144,"Slender, gracile long tubular bones","1277,1278,2067,23363,23545,23594,2733,2972,3759,4247,4593,4784,4998,5000,5116,5159,5913,6905,9820,990,9935",9
C1386048,Intrauterine retardation,"10013,10102,10269,1028,10293,10370,10535,1062,10683,10733,10752,10815,10847,1134,1144,1146,1161,1399,1482,1487,1501,16,1663,1717,1736,182,1836,2006,2067,2068,2073,2074,2121,2260,2261,22930,22931,22995,2317,2332,23363,23414,23483,23545,23592,23594,25782,25836,25942,26123,26227,2626,2627,26277,2629,2645,2657,2702,27229,2737,29968,3239,3479,3480,3481,3508,3630,3643,3651,3767,3800,3954,3955,3977,3981,4000,4089,4173,4591,4593,4654,4683,4838,498,4998,5000,5034,50485,5073,51085,5116,51185,51199,51259,51360,5144,5147,5155,5159,51626,51750,5295,5325,538,53834,54101,545,54888,54903,54968,55135,55505,55640,55651,5573,5594,5723,5781,5828,5830,5831,5832,5885,5894,5913,5925,5932,613,617,6223,6309,641,6469,6499,6575,6595,6597,6598,6605,6628,6664,673,6833,6888,6905,6909,6911,701,7012,7015,7020,7468,7469,7476,7518,7737,8091,8241,8243,8289,8985,9037,9126,9150,9213,9401,9496,9640,9652,9702,9791,9820,9871,9896,9897,990,9928",none
C1865200,Delayed epiphyseal ossification,"1184,1280,1299,1311,1588,1594,2099,2879,5745,7421",6
C3495559,Juvenile arthritis,"100820829,10769,10810,10826,10950,11252,113,1191,122416,1390,139105,146225,1493,150094,153020,157922,1612,1647,1649,1839,1843,1844,1846,1950,1958,196441,1998,200315,2017,203228,2120,2209,221037,22864,23043,23074,23080,23093,23166,23522,2353,2354,2355,23764,239,25816,26037,27086,2766,2791,2812,283131,2919,3012,3084,3310,340205,3480,353514,3557,3579,366,3674,3693,3725,374,3772,3845,4026,4088,4133,4478,473,4929,4973,5008,51320,51338,51741,5187,5239,5329,5352,54502,54757,55,55500,5594,5627,60685,64224,6515,6556,6774,6786,6934,694,7027,7035,7057,7130,7280,732,7324,7844,7852,800,8013,81565,8291,8339,83699,8379,84281,84441,84519,84909,84981,85413,8794,926,929,9308,9314,9334,9468,9690,9788,9873,9886",3
C0037299,Skin Ulcer,"10758,10804,11277,1130,1235,1277,1490,1736,23765,26277,2632,2706,3106,3123,3593,362,3663,3689,3909,3930,4000,4803,4914,5073,5155,51750,5184,5317,54567,55135,55505,55612,55630,55651,6774,6890,6891,6892,6945,695,7012,7015,7486,8517,857,8626,9051,9517,9790",4
C0236733,Amphetamine-Related Disorders,"1012,1061,128674,1312,135,137868,1565,158038,1604,1812,1813,1814,1815,2052,207,2272,22913,23090,23245,23305,23307,23362,2353,2566,26289,26575,26577,2668,2912,2944,2950,2952,3084,313,3351,3359,3362,340267,344558,409,43,4645,4842,4886,4988,5104,5142,5144,5146,5173,5327,54535,5460,54996,5592,5607,5970,627,64478,64754,64757,6531,6532,6536,6622,7799,79750,80036,8029,81501,84196,9215,9463,9771,9951",9
C2748653,Chubby cheeks,"1020,10516,178,1806,1836,1906,2006,2138,2200,23322,23483,23529,27077,27445,2778,30008,3265,3339,3425,3845,4000,4337,4338,4853,4893,4952,5075,51057,51085,51124,5116,51259,5290,538,547,54903,55704,5604,5605,5832,6309,6452,6492,6664,673,6901,6925,8675,9049,9244",none
C0033860,Psoriasis,"100271719,10318,10498,10547,10758,117289,125893,1356,1401,140454,1437,149233,163702,23586,26525,2706,29785,3107,3119,3123,338442,348,353143,353144,3553,3565,3569,3593,3596,359825,4288,4792,4843,503613,5111,51561,51752,5271,54620,5468,55350,55905,5966,5972,6278,63869,63870,64135,64478,65245,6648,6774,7039,7124,7128,7157,7297,7422,7889,79092,84648,847,85463,864,8875,8876,9232",5
C0087012,"Ataxia, Spinocerebellar","10908,10939,140451,146057,2296,23152,25894,2672,342371,5521,5582,6310,6311,6314,6712,773,84991",3
C0015672,Fatigue,"10019,10133,10320,10891,10892,1230,1374,1376,1482,1493,1610,1639,1643,1756,1991,2043,2056,2057,2066,2068,2071,2072,2073,212,213,22909,23025,23230,23435,25,2521,25974,25978,26191,2623,2629,27030,27086,2717,27249,2736,2778,283,2908,29110,2956,29760,29978,3039,3040,3077,3106,3115,3123,3172,3178,330,3440,3492,3507,3543,355,3586,3592,3593,3717,3815,3845,3930,4000,4072,4210,4221,4292,4352,4436,4512,4513,4514,4535,4538,4540,4541,4558,4564,4567,4572,4574,4575,4578,4625,472,4744,4791,5015,50506,50940,5156,51604,5172,51752,5216,5290,5295,5378,538,5395,54209,5444,5445,5446,5449,546,54790,55624,5566,5573,5626,5630,5657,5774,595,596,604,6125,613,6135,6138,6154,6165,6201,6204,6218,6223,6229,6231,6234,6235,6311,6338,6340,6389,6390,6391,6519,6528,6556,6571,6647,6658,6775,6901,6927,6929,6945,695,7038,7048,7099,7148,7173,720,7252,7253,7415,7428,7454,7456,7507,7508,7849,8022,8074,8302,861,8622,8797,8820,8867,8878,8915,9049,9051,9095,9101,9217,9581,973,974,9782,9829,9896",0
C0497327,Dementia,"10577,10715,11152,11277,1161,1201,1356,1471,1593,1678,1786,215,23315,2332,23400,2512,25814,25974,2629,2760,2896,3064,3073,348,351,3664,4137,4204,427,4287,4508,4511,4512,4513,4514,4519,4535,4540,4541,4558,4566,4567,4572,4574,4575,4577,4578,4693,4854,4864,4929,51324,5155,51816,5274,540,54209,5428,54476,54982,5521,5621,5654,5663,5664,6311,6515,6531,6620,6622,6683,7276,7466,7957,8029,8722,9096,9213,9445,9627",6
C0026769,Multiple Sclerosis,"100133941,100271694,100271695,100271696,1268,23095,23274,3115,3119,3122,3123,3383,3394,3456,348,3553,3559,3574,3575,3592,3766,4162,4261,4397,5010,5027,5133,5443,5788,590,6401,6556,6775,7128,7132,7297,7412,868,8740,923,958,965",8
C0151878,Prolonged QT interval,"10142,2239,2719,287,3753,3757,3759,3762,3784,54795,6330,6331,775,801,805,859,9992",0
C0022661,"Kidney Failure, Chronic","1374,1401,1535,1536,1555,1557,1636,1839,19,2056,213,2168,2194,2981,3156,3162,3479,3569,38,4481,4627,4790,4803,50507,5054,5076,51085,51094,5465,56729,5742,5743,57817,5970,6347,653361,6720,6721,7040,7124,847,9370,949,9619,968",8
C1833118,"Cataract, Pulverulent","1414,1415,1420,1421,2700,2703,3299,4094,7431,7439,8419",7
C0149630,Bicuspid aortic valve,"10060,2006,2201,23118,2316,26229,4091,4629,4851,51085,54880,60,6154,8260,867,9469",1
C0002994,Angioedema,"11005,1776,213,2161,3115,3119,3123,5327,710,7512",5
C0040822,Tremor,"10102,10128,103,10312,11093,11152,1130,1132,1161,1186,135,1356,151,154,1565,1593,1639,1678,1813,1861,2006,2074,23230,23317,23556,23592,2512,2554,2556,2566,25793,25974,2643,26580,26608,2705,2911,2969,29887,3172,3208,3350,367,3736,3737,3746,3984,4001,4137,4204,4221,427,43,472,4758,4860,5053,5071,5092,5155,5159,51816,5354,538,540,54840,54902,54968,55157,55532,55630,5621,5805,5828,5860,5982,6315,6323,6324,6326,6334,6335,6531,6571,6575,6697,6812,6872,6900,6927,7054,7138,7167,7200,7276,7461,7466,767,779,8091,8398,8450,8600,8722,8813,8867,8910,9031,9445,9533,9569,9570,9829",5
C1857949,Prominent metopic ridge,"158,2067,2068,2073,2074,2290,2645,3630,3651,3767,5325,5518,6309,6833,990",9
C1859778,Postnatal growth retardation,"1028,10682,1387,1641,1723,2033,2074,22931,2316,23312,23483,25782,26040,2990,3239,3643,3763,383,3981,4000,4173,4247,4621,4990,50640,5116,5130,51594,51750,545,546,54808,54888,55636,5604,5648,5723,5728,5781,5836,60,641,6521,6628,6657,673,6905,701,7403,8085,8260,8573,8985,9382,9723,9820,9871",8
C1856786,Hypoplastic fingernails,"10804,1301,1302,23556,2706,3930,4487,6197,6473,7020,8517",0
C0545053,Advanced bone age,"1028,10297,10555,10984,1584,1588,2146,2239,2316,2353,26229,26580,2719,2737,29072,3284,3481,3643,3784,3952,3953,3973,4158,4784,5144,5447,5468,5573,5727,5745,6885,7253,7681,7840,857,9469",9
C0022596,Palmoplantar Keratosis,"10483,1075,10804,1475,1493,1824,1828,1832,207,2263,22861,242,25959,26154,2697,2706,29926,3248,3728,3845,3848,3852,3853,3854,3857,3858,3861,3868,3872,4014,488,51360,51371,5184,5290,5317,5339,55612,5604,5605,57152,5728,5818,6303,6390,6391,6392,673,7051,7133,7373,79719,8086,831,8626,8710,9342,940,9401,9487",9
C0266625,Preauricular sinus,"10370,10815,1482,1487,182,2138,2239,23384,23414,2626,2627,2657,2702,2719,286,3759,3954,5075,51715,53834,6495,6899,7020,7403,7468,8085,9451",5
C0040128,Thyroid Diseases,"10618,10743,163223,163882,1733,1734,23534,3398,3399,3592,3594,3643,3663,3693,4221,51454,5450,6347,6689,687,6926,7068,846,9966",0
C0035412,Rhabdomyosarcoma,"1268,23405,26519,2956,3265,3481,4292,4436,4683,4763,5395,5727,5757,701,7422",2
C0035258,Restless Legs Syndrome,"100188812,100188813,100188839,100302512,100302561,114781,192142,4211,450097,5443,5789,7018",0
C1860236,Irregular hyperpigmentation,"10459,10804,10982,11005,1281,1493,1776,207,2072,2175,2176,2177,2178,2187,2188,2189,29089,3081,3265,3845,3930,4893,55120,55215,55612,5728,5888,5889,675,7133,7516,8517,940",3
C0012833,Dizziness,"10019,10345,1690,2057,27010,3717,3728,3736,4352,4598,4615,4647,4668,477,4771,5155,51816,54790,54805,567,6262,7148,7428,773,801,805,808,845",0
C4072825,Thickened facial skin with coarse facial features,"10020,10060,10075,1028,10717,10984,11154,1280,1482,175,2006,2132,2239,2316,2332,23431,23461,23522,23556,2517,2588,26040,26503,26608,2697,27125,2717,2719,2720,27316,2778,2799,28956,2969,2990,3074,3248,3265,3423,3425,3481,3643,3756,3764,3784,3845,3984,411,4125,4313,4323,4352,4668,4669,4758,4853,50506,50964,51684,5172,5277,54187,54453,5449,54551,546,5476,54808,5604,5605,5626,5727,5982,6197,6448,6528,6578,6597,6598,6605,6664,673,6774,6925,7038,7067,7068,7173,7201,7252,7253,7355,7461,7849,8022,8260,8289,8450,8481,8546,8643,8820,8905,9031,9049,9179,9255,9569,9968",5
C1866862,Highly variable severity,"10262,10324,10472,10585,10616,10682,10804,10939,11136,11232,1134,1145,1282,1284,1291,1292,1293,1387,16,1605,1675,1719,1738,1798,1959,1962,2033,2067,2073,212,2138,2147,2155,2159,2218,2263,23064,23299,2566,2623,2643,2673,27241,2736,2737,2778,2903,2904,2982,2992,29925,29954,324,3291,3736,3800,3852,3861,3887,3889,3892,4000,4141,427,4286,4359,4361,4511,4512,4513,4514,4519,4535,4540,4541,4558,4566,4567,4572,4574,4575,4577,4578,4620,4625,4747,4771,4790,4791,5048,5063,5076,5077,50943,51010,51062,51095,51206,51324,51360,51660,51684,51741,51750,51816,5192,5213,5308,5376,5428,547,55157,55532,5624,5660,5727,58,5800,5813,5828,5860,5917,617,6235,6261,6323,6326,6329,6335,6442,6469,6495,6496,6519,6524,6555,6683,6697,6709,6812,6843,7054,7084,7169,7170,7280,7283,7291,7424,7450,763,7827,8050,8260,8328,857,8643,8813,916,917,9380,939,9499,9782,9896,9927",none
C4021745,Abnormality of the musculature,"11005,1499,2271,2303,2778,324,4626,4854,5159,5468,5506,6335,6786,7454,889,8942",3
C1510586,Autism Spectrum Disorders,"10319,10716,10743,1106,11141,1153,139411,151531,1718,1734,1735,1742,1745,1759,1788,1789,1804,1806,200424,2020,205428,23090,23394,23443,23462,2562,25942,25970,26047,27086,2904,29123,2969,3077,347731,3690,3720,4204,4208,4543,4544,4923,5021,5101,51259,51524,54221,54674,552,5602,5649,57502,57616,57628,57680,619554,6262,627,6323,6433,6535,6567,6660,6662,6853,6907,7466,79742,80312,85358,8831,8905,9248,9378,9379,95681",4
C0687149,Pure gonadal dysgenesis,"10329,190,2261,23414,2492,2516,2626,29893,3295,3815,4214,50846,51741,6662,6736,6794,6845,7490,9210",none
C0343073,Wooly hair,"10161,112802,121391,147183,1824,1832,1947,200879,25959,3265,3728,51702,538,6499,7053,8139,9652",none
C0409338,Flexion contracture - elbow,"1291,1292,1293,1376,1674,2010,2074,2316,25836,26229,2706,3977,4000,4621,4921,5307,5352,545,55315,5696,5831,6628,6913,7020,7169,7476,8985,9215,9244,9427,9469,9791",0
C0162672,MERRF Syndrome,"3552,3553,4540,4549,4558,4564,4566,4567,4571,4572,4574,4575",4
C3808249,Optic disc abnormalities,"1406,23418,23746,3000,3614,3769,5080,6121,7287,9227,9657,9742",6
C1853738,Long eyelashes,"10060,10586,10847,10908,10978,1387,1956,2033,2200,2250,25836,27125,3764,4054,4247,4853,4920,4998,5495,55690,5885,5906,5908,6519,6597,6598,6605,6664,7403,7841,8085,8243,8260,8289,9126,9150,9581",0
C0011581,Depressive disorder,"10013,10014,1012,10133,1029,10522,10814,10815,10855,10891,10963,1103,111,1129,113,1135,1137,114,1142,114784,116,117,121278,1240,125958,1268,1269,1270,1312,1356,1371,1385,1392,1393,1394,1395,1407,1408,140947,1436,1440,15,150,153,1557,156,1565,1593,1607,1610,1621,1636,1639,1742,1786,1803,1808,1812,1813,1814,1815,1816,183,1843,1846,1848,1861,1960,2,2006,2043,2066,207,2099,213,2182,2247,2253,2260,2263,2289,22909,23025,2328,23286,2332,23435,2346,2353,23600,23705,238,2495,2512,2521,2551,255239,2556,2559,2562,2571,25814,2596,25978,26012,26191,26281,2629,26523,26608,2670,267012,2688,27030,27121,27185,2739,27445,2752,2767,2778,2782,2784,2796,2798,282706,283,2847,2876,2890,2892,2894,2896,2899,2903,2904,2908,2911,29110,2917,2925,2931,2932,2944,2952,2956,2969,2973,2996,29978,3043,3060,3061,3064,3084,3145,3178,319100,3240,326625,3290,3297,3350,3351,3352,3356,3358,3359,3360,3363,3425,3440,3479,348980,351,353,3552,3553,3569,3570,3576,3606,361,3613,3620,367,3730,3759,3763,3776,3814,3845,387129,389036,3925,3952,3976,3984,4001,4048,406,4072,4074,409,4128,4129,4137,4157,4160,4204,4282,4287,4292,4306,438,4397,4436,4512,4513,4514,4524,4535,4538,4540,4541,4548,4558,4564,4567,4572,4574,4575,4578,467,468,4684,4741,4744,478,4803,4804,4842,4843,4846,4852,4854,4862,488,4886,4915,4922,4929,4939,4952,4986,4988,5020,5021,5027,50484,5053,50940,51083,5141,5142,5144,5153,5155,51555,5159,5173,51738,5179,5216,5243,5290,5309,5320,5367,5368,5378,53919,5395,540,54209,5428,5443,5444,5445,5446,54487,54738,54902,54982,5521,55315,5533,5538,55636,5566,5573,5582,5584,5595,5599,5607,5621,5630,5649,5663,5697,573,5743,5879,594857,596,5972,5982,5996,6095,617,627,6281,6285,6303,6311,63891,6403,6422,6505,6506,6529,6530,6531,6532,6570,6571,6575,6616,6622,6647,6648,6683,6715,672,6774,6853,6863,6866,6869,6870,6908,7040,7048,7054,7088,7124,7132,7133,7148,7166,7200,7276,7349,7415,7422,7425,7461,7466,775,79053,79068,80114,805,815,8398,84062,84152,846,85458,866,8722,875,8811,8822,8863,8864,8878,8910,8914,8973,8988,9031,9048,9049,9095,9096,9177,9211,9213,9217,9378,9394,9456,9569,9572,9575,9607,9627,9639,9734,9782,9896,9968",5
C4280656,Narrow cranium shape,"10108,10297,10370,11133,11253,1272,1482,1747,182,207,2077,2200,2201,2263,23169,23363,23414,23742,249,2626,2627,2657,2702,2737,29072,3190,3295,3423,3425,3636,3653,3954,411,4591,4598,4692,4853,4854,4882,5000,51098,51259,5189,5190,5192,5193,5194,5195,5297,54551,546,54808,55670,5728,5824,5828,5830,5894,641,6497,6519,6638,673,7020,7291,7317,7421,7468,7469,7681,8481,8504,8799,8924,9409,9581,9820,9896",5
C0017979,Glycosuria,"1184,1340,1352,1497,1962,2108,2109,2110,22868,229,22909,2627,2645,3172,3630,3651,3767,4000,51204,5325,540,6341,6514,6523,6524,6569,6833,6928,9451",4
C0033975,Psychotic Disorders,"1015,10215,104,10452,10577,10814,10815,10846,12,1201,121278,125,1267,1269,1394,1439,1454,1555,1594,1622,1644,1745,1816,200315,203228,2055,210,215,2166,221833,2263,2289,23092,23230,23286,23305,23408,23503,2512,26011,2643,27306,27350,2752,2768,2778,288,2899,2900,2902,2908,2938,2950,29985,3028,3066,3106,3133,3351,3356,3361,35,3757,3952,4128,4200,4204,4205,442721,4616,4693,4735,4835,4861,4864,4886,4914,4985,4988,5053,5063,5074,50940,50944,5116,5155,5159,5243,5297,5327,54487,54584,54820,54902,5498,55084,551,55193,5533,5573,5578,55808,5621,57144,5788,5816,607,627,6285,6303,64067,64288,6474,6482,6536,6558,6575,6616,6667,6670,6899,6925,6999,7040,7226,7257,7299,7466,773,775,7915,7957,7976,80312,81033,811,81565,83259,8398,886,8991,9293,9445,9463,947,9607,9638,9771,9968,9990",2
C3665386,Abnormal vision,"10083,10319,10342,10518,10560,11107,1282,1462,1509,215,2296,23451,24,25861,27235,2767,2776,3035,3105,3295,4047,443,4508,4514,4519,4535,4536,4538,4539,4540,4541,4575,4647,4810,5080,50964,5130,5194,5422,5428,547,54765,54880,5631,6657,686,7399,7401,760,7957,8398,8869,9742",8
C0553730,Calcium pyrophosphate deposition disease,"1175,249,3077,3758,4000,4221,4854,5159,540,5443,6557,6559,7486",8
C1844820,Range of joint movement increased,"1073,11141,1277,1289,1290,1301,1303,2200,2316,23545,30008,4041,4854,4952,5000,50814,540,54453,5518,5728,5831,5832,6023,6535,6774,7043,7148,7403,8085,8139,867,9820,9968",1
C0557874,Global developmental delay,"10020,10083,10084,10087,10102,10108,10128,10134,10166,10195,1020,1021,10225,10297,103,10300,10381,10459,10472,10479,10483,10518,10522,10564,10577,10585,10664,10667,10682,10717,10733,10743,10771,10806,10815,10847,10978,11005,11023,11041,11043,1106,11113,11128,11133,11151,11152,11154,11222,11253,11277,11285,1130,11340,1139,1174,1193,1281,1282,1284,1289,1302,1312,132,1340,1349,1352,1355,1373,1399,1482,1487,1499,158,16,1605,1644,1650,1663,1717,1719,1727,1736,1737,1738,1741,1763,1789,1798,18,1806,1855,1892,191,1910,1911,1917,1947,2018,2033,2067,2068,207,2072,2073,2132,2138,2146,2175,2176,2177,2178,2187,2188,2189,2218,2260,2261,2263,2271,22796,22827,22868,22897,22930,22931,22934,22995,23040,23090,23111,23126,2313,2314,23141,2316,23203,23247,23259,23261,23314,2332,23322,23325,23334,23384,23394,23417,23431,23443,23474,23483,23522,23556,23592,23742,2464,2517,2554,2563,2566,2571,25782,2582,25821,25915,2593,25939,25942,25970,25974,25977,26128,26146,26235,2626,2627,26275,26276,26277,2628,2629,2643,2645,26503,2671,2683,2697,27031,27077,27089,271,2710,27125,27130,27229,27245,27247,27249,27315,2736,27445,2760,2775,2812,286,2895,28952,28960,2898,2904,29072,29078,29089,2911,29123,2972,29920,29925,29926,29929,29954,29968,3028,3030,3032,3070,3110,3141,3149,3190,3265,3295,3329,3340,34,3418,3425,3481,35,351,36,3630,3643,3651,3653,3703,3708,3712,3735,3745,3756,3758,3766,3767,3785,3796,3800,383,3835,3845,39,3920,3930,3954,3981,3988,4000,4036,4056,4099,412,4125,415,4204,421,4212,4256,4281,4329,435,4358,440,443,445,4508,4524,4548,4552,4594,4598,4644,4647,4668,4692,4694,4695,4704,4705,4709,4715,4719,4720,4722,4723,4724,4726,4728,4729,473,4763,478,4864,4867,4914,4920,4921,4952,4967,4983,4990,5009,501,5015,5048,50506,5053,5073,5075,5080,50814,5091,50937,5095,5096,51,51010,51025,5105,51091,51095,51103,51109,5111,51119,51124,5116,51185,5119,51204,51259,51317,51360,5144,5147,51520,51524,5160,51601,51604,51651,51660,5172,51741,51750,51807,5184,5189,5190,5192,5193,5194,5195,5238,5290,5296,5325,5340,5354,5373,53834,5422,5428,5449,54551,54585,546,547,54704,54805,54806,54808,54820,54862,54888,549,54903,5495,54968,55084,55120,55135,5518,55180,55209,55215,55275,5528,55280,5538,55505,5551,55526,55572,55651,55670,55690,55703,5573,5594,5604,5605,5624,5625,5626,5631,5660,5723,5727,5728,58,5805,5813,582,5824,5828,583,5830,5831,5832,585,5859,5860,5885,5888,5889,5894,5917,5979,60,613,6165,617,6234,6239,6309,6323,6324,6326,6334,6335,6341,6389,6390,6391,6392,6469,6491,6492,6496,6497,650,6509,6513,6514,6519,652,6528,6531,6535,6557,6566,6571,6576,6597,6598,6605,6609,6616,6638,6657,6658,6663,6664,6697,6712,673,6748,675,6792,6812,6821,6833,6834,686,6873,6899,699,701,7012,7015,7025,7038,7080,7167,7173,7201,7248,7249,7253,7280,7283,7290,7337,7353,7355,7372,7403,7436,7443,7468,7469,7471,7474,7516,7518,7531,7546,760,7681,776,7840,7841,7849,790,7915,7994,8022,8050,8085,8086,8091,8195,8239,8241,8243,8260,8289,8398,8504,8514,8573,8604,867,8792,8799,8802,8803,8818,8820,8831,8869,8905,8924,894,8942,8985,9126,9150,9179,9184,9197,9215,9255,9289,9342,9343,9361,9382,9409,9440,9451,95,9526,9533,9581,9632,9640,9657,9662,9702,9719,9731,9759,9775,9786,9841,9895,9897,990,9915,9968,9990,9997",none
C0234967,Choreoathetoid movements,"1644,1737,1822,2068,2074,23556,23636,2512,2639,2643,3028,3251,3329,3785,3786,4204,472,477,478,5160,5354,5428,5805,5860,6326,6334,6697,6821,7080,7507,8869,9213",2
C0012811,Colon diverticulum anatomic structure,"2006,207,26608,2969,3984,4292,4436,5290,5310,5728,5979,5982,7461,9031,9569",none
C3551426,Dystrophic fingernails,"10804,1294,2697,2706,3845,3861,51360,54463,547,55612,5604,5605,5818,6303,6335,673,6774,8626",9
C4280532,Decreased width of the skull,"10225,1717,23090,23247,23322,2626,27077,27229,3265,3845,3981,4212,4867,4893,51259,51524,547,54806,54903,5604,5605,5728,6309,6567,673,7518,9731,9786",none
C0011206,Delirium,"1813,1814,3479,348,3557,3569,3576,3976,6531,7054",5
C1704317,Leukokeratosis,"10804,1736,26277,2706,3851,3852,3853,3854,3861,3868,3872,4210,5073,51750,55135,55505,55612,55651,7012,7015",none
